OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,TotalAmount,Region
1,2024-10-01,C2311,Amy Sheppard,P9918,Headphones,Accessories,Input Devices,3,905.22,2715.66,West
2,2024-11-16,C8843,Diane Gilbert,P1764,Webcam,Electronics,Peripherals,2,241.44,482.88,East
3,2024-12-16,C6090,Jessica Perez MD,P8004,Mouse,Accessories,Storage Devices,10,385.64,3856.4,East
4,2025-04-23,C3487,Caroline Martin,P5384,Desk,Furniture,Tables,6,250.78,1504.68,East
5,2025-01-19,C8763,Cathy Pearson,P9904,Laptop,Electronics,Peripherals,2,863.48,1726.96,North
6,2025-01-25,C1026,Albert Blackwell,P3545,Table Lamp,Furniture,Tables,9,134.44,1209.96,North
7,2025-04-13,C6194,Karen Lewis,P4360,Headphones,Accessories,Storage Devices,1,214.98,214.98,East
8,2024-09-02,C3914,Michael Malone,P3858,USB Drive,Accessories,Audio,8,336.36,2690.88,West
9,2025-04-21,C6751,Daniel Rowe,P1320,Monitor,Electronics,Computers,5,20.41,102.05,East
10,2024-12-04,C9247,Sandra Tate,P8950,Mouse,Accessories,Storage Devices,2,211.8,423.6,West
11,2025-06-06,C4615,Michael Mcdonald,P1827,Mouse,Accessories,Audio,1,225.22,225.22,West
12,2024-11-28,C7377,Matthew Parker,P7700,Office Chair,Furniture,Tables,8,890.58,7124.64,South
13,2024-06-28,C6625,Jenna Arnold,P5345,Keyboard,Accessories,Input Devices,3,253.79,761.37,North
14,2025-04-04,C2093,John Morris,P8431,USB Drive,Accessories,Storage Devices,4,412.57,1650.28,West
15,2024-10-30,C4738,David Horton,P4655,Printer,Electronics,Computers,2,755.93,1511.86,South
16,2025-02-19,C9889,Gloria Griffith,P4855,Smartphone,Electronics,Peripherals,7,884.83,6193.81,West
17,2025-05-25,C8760,Shannon Garcia,P9600,Laptop,Electronics,Peripherals,10,938.38,9383.8,North
18,2025-03-05,C3068,Danielle Jones,P6752,Office Chair,Furniture,Seating,9,331.11,2979.99,North
19,2024-11-03,C3307,Jacqueline Smith,P9750,Office Chair,Furniture,Tables,3,600.0,1800.0,North
20,2025-04-17,C7273,Lisa Goodman,P7777,Monitor,Electronics,Peripherals,2,317.39,634.78,South
21,2025-05-02,C2423,Amy Williams,P4938,Headphones,Accessories,Input Devices,6,460.62,2763.72,West
22,2024-10-14,C8356,Steven Mcbride,P9631,Webcam,Electronics,Computers,3,577.57,1732.71,South
23,2024-09-26,C7308,Marcus Davenport,P7964,Smartphone,Electronics,Mobile Devices,1,970.3,970.3,West
24,2024-06-19,C3163,Tyler Johnson,P4383,USB Drive,Accessories,Audio,4,796.6,3186.4,North
25,2024-08-30,C7729,Rachel Davis,P2522,USB Drive,Accessories,Audio,4,663.31,2653.24,East
26,2024-08-02,C1654,Gregory Baker,P6370,Desk,Furniture,Tables,1,60.37,60.37,West
27,2025-02-09,C9664,Kevin Daugherty,P4686,Headphones,Accessories,Audio,8,594.79,4758.32,South
28,2024-11-02,C5097,Leslie Johnston,P6673,Keyboard,Accessories,Input Devices,8,108.44,867.52,South
29,2025-01-27,C7678,Elizabeth Cox,P3559,Desk,Furniture,Storage,2,984.22,1968.44,East
30,2025-01-25,C7285,Laura Crawford,P5083,Smartphone,Electronics,Mobile Devices,5,518.31,2591.55,North
31,2024-07-25,C5033,Sean Mcpherson,P3636,Printer,Electronics,Peripherals,9,682.17,6139.53,North
32,2024-09-05,C3072,Matthew Hernandez,P5322,Monitor,Electronics,Peripherals,1,299.48,299.48,West
33,2025-01-28,C9212,Tammy Olsen,P3399,Mouse,Accessories,Audio,2,252.68,505.36,East
34,2024-08-23,C2871,Omar Rogers,P4044,Monitor,Electronics,Peripherals,4,481.49,1925.96,South
35,2024-10-18,C1532,Gwendolyn Roth,P8143,Headphones,Accessories,Storage Devices,10,467.6,4676.0,North
36,2024-07-17,C4164,Jennifer Carlson,P8330,Headphones,Accessories,Storage Devices,3,933.95,2801.85,North
37,2024-12-15,C6988,Miss Sonya Brown DDS,P5301,Mouse,Accessories,Audio,9,378.77,3408.93,South
38,2024-10-16,C3965,Bailey Wilcox,P8892,Headphones,Accessories,Input Devices,4,226.95,907.8,East
39,2024-10-28,C8193,Michael Baldwin,P1218,Monitor,Electronics,Peripherals,10,162.06,1620.6,West
40,2024-12-02,C2135,Derrick Weiss,P1763,USB Drive,Accessories,Storage Devices,6,178.52,1071.12,South
41,2025-03-10,C8259,Michael Glass,P6616,Desk,Furniture,Seating,6,692.07,4152.42,West
42,2025-05-12,C6794,Sarah Robinson,P2980,Office Chair,Furniture,Tables,9,375.9,3383.1,North
43,2024-11-15,C7216,Kelly Santiago,P8141,Bookshelf,Furniture,Tables,1,436.53,436.53,South
44,2024-11-23,C6764,Stephanie Wyatt,P9771,Headphones,Accessories,Input Devices,3,805.93,2417.79,East
45,2025-04-25,C6270,Robert Watkins,P6962,Bookshelf,Furniture,Storage,3,778.77,2336.31,South
46,2024-08-18,C4382,James Conley,P9913,Table Lamp,Furniture,Tables,3,983.26,2949.78,South
47,2024-09-22,C1604,Dr. Austin Myers,P9617,USB Drive,Accessories,Storage Devices,9,761.69,6855.21,East
48,2025-03-01,C6710,Mike Bonilla,P1073,Desk,Furniture,Storage,1,60.59,60.59,West
49,2024-10-01,C6135,Leslie Carter,P7421,Webcam,Electronics,Mobile Devices,10,685.37,6853.7,South
50,2024-06-19,C9962,Samantha Hughes,P6120,Laptop,Electronics,Computers,3,557.9,1673.7,East
51,2024-10-14,C3598,Robert Rodriguez,P5980,Monitor,Electronics,Computers,7,348.93,2442.51,South
52,2024-10-15,C3036,William Rivera,P4187,Desk,Furniture,Seating,8,144.85,1158.8,West
53,2024-08-02,C2620,Gail Lewis,P1400,Office Chair,Furniture,Storage,1,561.67,561.67,North
54,2025-04-21,C5970,Jacqueline Hubbard,P5489,Webcam,Electronics,Peripherals,4,927.46,3709.84,North
55,2024-12-20,C2143,Christopher Willis,P5986,USB Drive,Accessories,Input Devices,7,80.66,564.62,East
56,2024-11-13,C3742,Debra Nguyen,P2507,Headphones,Accessories,Storage Devices,4,978.77,3915.08,South
57,2024-08-09,C2624,Marissa Hayden,P1336,Bookshelf,Furniture,Seating,5,397.22,1986.1,West
58,2025-05-19,C6461,Michael Acosta,P1701,Bookshelf,Furniture,Storage,3,876.83,2630.49,North
59,2024-08-13,C6190,Francisco Burton,P8884,Office Chair,Furniture,Storage,8,860.74,6885.92,North
60,2025-05-03,C9560,Shane Green,P6416,Desk,Furniture,Storage,8,188.75,1510.0,East
61,2024-07-06,C7014,Joanne Mcclain,P5772,Headphones,Accessories,Storage Devices,9,58.6,527.4,South
62,2025-03-03,C4082,David Levine,P5836,Office Chair,Furniture,Storage,5,409.61,2048.05,East
63,2024-09-27,C5689,Mary Sanchez,P1106,Bookshelf,Furniture,Storage,2,241.4,482.8,North
64,2025-02-27,C9712,Ashley Fuentes,P9136,Table Lamp,Furniture,Seating,4,77.29,309.16,West
65,2024-12-08,C1500,Mary Maynard,P9705,Bookshelf,Furniture,Seating,10,934.41,9344.1,West
66,2025-02-09,C6658,Matthew Bender,P1187,Desk,Furniture,Tables,5,180.5,902.5,West
67,2024-12-06,C8195,Julie Velasquez,P5474,Smartphone,Electronics,Mobile Devices,2,929.44,1858.88,North
68,2024-10-01,C8138,Gabrielle Krause,P2133,Laptop,Electronics,Peripherals,8,731.48,5851.84,South
69,2025-01-31,C9775,Grace Hopkins,P7202,Smartphone,Electronics,,10,777.11,7771.1,North
70,2024-12-26,C6273,Christopher Jimenez,P3200,,Accessories,Storage Devices,7,751.52,5260.64,South
71,2024-10-07,C9533,Susan Johnson,P8925,Mouse,Accessories,Storage Devices,8,358.78,2870.24,South
72,2025-06-08,C8468,David Perry,P9069,Monitor,Electronics,Peripherals,8,84.79,678.32,East
73,2025-06-06,C8829,Melanie Jones,P2315,Printer,Electronics,Computers,9,102.72,924.48,East
74,2024-11-11,C3872,Ethan Hall,P1120,Bookshelf,Furniture,Storage,5,980.68,4903.4,West
75,2025-01-23,C3495,Crystal Miller,P5576,Monitor,Electronics,Mobile Devices,3,552.87,1658.61,North
76,2024-11-20,C1280,Erin Graves,P1831,Desk,Furniture,Tables,5,744.9,3724.5,South
77,2025-04-24,C3462,Vickie Donovan,P3326,Headphones,Accessories,Audio,8,633.57,5068.56,South
78,2024-07-07,C6406,Michael Lawson,P5594,USB Drive,Accessories,Storage Devices,1,709.61,709.61,West
79,2024-07-29,C2711,Brenda Bowman,P7866,Webcam,Electronics,Peripherals,6,497.35,2984.1,West
80,2025-03-29,C9320,Mary Reyes,P6666,Table Lamp,Furniture,Tables,3,328.68,986.04,West
81,2025-05-03,C6723,Warren Craig,P2777,Laptop,Electronics,Mobile Devices,5,863.22,4316.1,East
82,2025-05-19,C2563,Diana Ingram,P8870,Bookshelf,Furniture,Tables,4,333.76,1335.04,West
83,2025-03-01,C8861,Raymond Simmons,P1104,Keyboard,Accessories,Storage Devices,8,659.58,5276.64,West
84,2025-02-16,C6552,Ashley Dalton,P7106,Table Lamp,Furniture,Seating,7,255.28,1786.96,West
85,2025-01-08,C1257,Brian Lee,P4672,Monitor,Electronics,Peripherals,2,377.4,754.8,West
86,2025-01-27,C8348,Bruce Reed,P4956,Bookshelf,Furniture,Tables,5,539.36,2696.8,West
87,2024-12-08,C8732,Jennifer Gonzalez,P6820,Smartphone,Electronics,Computers,2,216.21,432.42,West
88,2025-05-18,C8791,Maria Hart,P3363,Table Lamp,Furniture,Storage,2,496.8,993.6,South
89,2024-10-02,C6101,Luis Robinson,P4921,Office Chair,Furniture,Storage,4,532.08,2128.32,East
90,2024-11-01,C2329,Todd Jones,P8918,Webcam,Electronics,Computers,1,935.83,935.83,East
91,2024-12-04,C7187,Catherine Escobar,P1298,Desk,Furniture,Tables,5,78.04,390.2,West
92,2024-08-27,C9576,Lisa Stevens,P9814,Bookshelf,Furniture,Tables,3,250.67,752.01,North
93,2024-10-04,C5138,Joseph Huang,P8855,Headphones,Accessories,Input Devices,8,262.07,2096.56,East
94,2025-05-29,C5991,Nicole Cameron,P5855,Mouse,Accessories,Storage Devices,2,838.35,1676.7,East
95,2025-01-24,C5017,Albert White,P2074,Headphones,Accessories,Audio,8,528.36,4226.88,North
96,2024-06-17,C1879,Katie Wilson,P3121,Smartphone,Electronics,Computers,10,99.59,995.9,North
97,2024-12-30,C6100,Sara Williams,P4187,Headphones,Accessories,Storage Devices,10,70.87,708.7,West
98,2025-01-24,C4071,Monica Holmes,P3276,Bookshelf,Furniture,Tables,8,359.27,2874.16,East
99,2025-02-22,C6654,Justin Gray,P2188,Laptop,Electronics,Computers,4,107.59,430.36,North
100,2025-03-30,C7746,Frank Martinez,P8448,Mouse,Accessories,Storage Devices,3,313.74,941.22,West
101,2024-08-27,C9773,Heather Reeves,P7586,Office Chair,Furniture,Seating,4,961.16,3844.64,East
102,2024-11-16,C5957,Larry Garcia,P6022,Mouse,Accessories,Input Devices,6,633.12,3798.72,North
103,2024-12-28,C9752,Julia Gonzalez,P6603,Keyboard,Accessories,Audio,3,766.27,2298.81,North
104,2024-09-11,C4258,Brittany Garcia,P8362,Desk,Furniture,Storage,9,390.53,3514.77,West
105,2025-06-03,C8544,Stephen Contreras,P6428,Keyboard,Accessories,Input Devices,6,308.89,1853.34,South
106,2025-05-24,C1362,Madison Morris,P8542,USB Drive,Accessories,Input Devices,6,243.38,1460.28,West
107,2025-01-05,C8351,Daniel Kelly,P4853,USB Drive,Accessories,Input Devices,8,50.45,403.6,East
108,2025-01-17,C2101,Malik Wong,P4576,Headphones,Accessories,Audio,1,705.54,705.54,South
109,2025-03-14,C7005,Charles Parsons,P3304,Monitor,Electronics,Peripherals,1,980.38,980.38,North
110,2025-03-23,C2248,Eric Evans,P2421,USB Drive,Accessories,Input Devices,10,873.26,8732.6,West
111,2024-11-06,C1813,Kara Johnson,P4703,Desk,Furniture,Storage,8,715.25,5722.0,North
112,2025-06-10,C6565,David Young,P5131,Printer,Electronics,Mobile Devices,2,763.44,1526.88,West
113,2024-10-05,C5613,Thomas Williamson,P4602,USB Drive,Accessories,Audio,10,160.58,1605.8,South
114,2024-11-25,C3376,Danny Price,P5509,Laptop,Electronics,Peripherals,1,771.01,771.01,South
115,2024-11-05,C7570,Jordan Ramirez,P3849,Mouse,Accessories,Audio,3,628.82,1886.46,South
116,2024-11-27,C2045,John Keller,P3201,Bookshelf,Furniture,Storage,9,519.85,4678.65,South
117,2025-02-24,C1160,Christopher Neal,P9453,Smartphone,Electronics,Computers,1,990.22,990.22,East
118,2025-01-28,C4178,Scott Hester,P5463,Webcam,Electronics,Mobile Devices,8,668.87,5350.96,East
119,2024-08-30,C4514,Brandon Brown,P2305,USB Drive,Accessories,Storage Devices,6,959.96,5759.76,South
120,2024-10-06,C4807,Christina Craig,P7443,Table Lamp,Furniture,Seating,8,500.53,4004.24,East
121,2024-07-28,C6520,Kayla Kline,P9566,Headphones,Accessories,Input Devices,7,847.94,5935.58,North
122,2024-12-28,C2713,Anna Taylor,P4478,Laptop,Electronics,Peripherals,4,589.63,2358.52,South
123,2024-06-20,C4672,Karen Barnes,P4255,Desk,Furniture,Seating,1,889.34,889.34,South
124,2024-07-25,C7111,Rachel Barton,P5105,Keyboard,Accessories,Audio,4,548.41,2193.64,South
125,2024-07-26,C5917,Andrea Tate,P8254,Table Lamp,Furniture,Storage,4,578.31,2313.24,South
126,2025-01-06,C7989,Miguel Collins,P9357,Headphones,Accessories,Storage Devices,7,416.77,2917.39,North
127,2024-06-27,C2683,Amy Kirby,P8108,Bookshelf,Furniture,Storage,6,152.92,917.52,South
128,2025-05-16,C9908,Jamie Evans,P1244,USB Drive,Accessories,Input Devices,3,519.01,1557.03,East
129,2025-02-09,C6373,Julie Riggs,P6887,USB Drive,Accessories,Storage Devices,3,609.39,1828.17,North
130,2024-08-16,C7282,Steve Evans,P2826,Mouse,Accessories,Input Devices,3,898.25,2694.75,West
131,2024-12-26,C2614,John Jones,P9970,Keyboard,Accessories,,4,869.04,3476.16,West
132,2024-08-17,C6803,Jillian Higgins,P3059,Mouse,Accessories,Storage Devices,1,382.31,382.31,East
133,2024-11-16,C7732,Jennifer Roy,P4677,Webcam,Electronics,Peripherals,9,59.14,532.26,East
134,2025-01-24,C7819,Jodi Anderson,P5648,Bookshelf,Furniture,Seating,6,825.46,4952.76,North
135,2024-12-13,C5096,Katherine Welch,P9152,Smartphone,Electronics,Mobile Devices,1,114.48,114.48,South
136,2025-06-08,C7463,Michael Robinson,P2979,USB Drive,Accessories,Storage Devices,2,127.37,254.74,South
137,2024-11-20,C2417,Hannah Gonzalez,P5911,Monitor,Electronics,Computers,1,977.73,977.73,West
138,2024-06-20,C7754,Barry Clark,P4295,Table Lamp,Furniture,Tables,8,565.83,4526.64,West
139,2025-02-25,C3639,Brian Chambers,P1933,Smartphone,Electronics,Mobile Devices,2,633.45,1266.9,West
140,2025-05-15,C7177,Scott Rodriguez,P7980,Table Lamp,Furniture,Storage,4,745.43,2981.72,West
141,2024-09-09,C9062,Jason Garcia,P1097,Printer,Electronics,Computers,1,889.72,889.72,North
142,2025-05-26,C9461,Kim Anderson,P4792,Headphones,Accessories,Audio,5,377.23,1886.15,South
143,2025-02-13,C1220,Sean Rodgers,P2702,Bookshelf,Furniture,Seating,7,978.99,6852.93,South
144,2025-01-01,C5734,Tanya Brown,P7530,Monitor,Electronics,Peripherals,3,300.52,901.56,West
145,2024-11-28,C6737,Amber Calderon,P7599,USB Drive,Accessories,Storage Devices,2,719.66,1439.32,East
146,2025-06-02,C5336,Jill Villarreal,P8287,Mouse,Accessories,Audio,6,58.8,352.8,North
147,2025-03-02,C7508,Martin Oconnell,P8815,Monitor,Electronics,Mobile Devices,4,786.17,3144.68,West
148,2025-04-23,C6513,Catherine Carr,P1696,Table Lamp,Furniture,,9,23.1,207.9,West
149,2025-06-01,C6660,Matthew Adams,P7300,Monitor,Electronics,Computers,10,510.87,5108.7,North
150,2024-12-14,C4142,Lisa Holland,P2257,Printer,Electronics,Computers,5,792.2,3961.0,West
151,2024-11-20,C3812,Wesley Blake,P4529,Table Lamp,Furniture,Tables,5,295.87,1479.35,South
152,2024-07-27,C1415,William Caldwell,P2903,Headphones,Accessories,Storage Devices,8,805.27,6442.16,East
153,2024-12-18,C6810,Brandy Brennan,P8747,Headphones,Accessories,Audio,2,871.02,1742.04,North
154,2024-07-12,C5037,Michael Medina,P3409,Webcam,Electronics,Computers,3,441.06,1323.18,West
155,2024-06-23,C6084,Jennifer Oneal,P8003,USB Drive,Accessories,Storage Devices,8,511.89,4095.12,North
156,2024-08-15,C5459,,P6283,Monitor,Electronics,Mobile Devices,7,702.11,4914.77,East
157,2024-10-24,C3071,Zachary Woodard,P3352,Table Lamp,Furniture,Storage,4,163.77,655.08,East
158,2024-10-14,C1484,David Atkinson,P6770,Mouse,Accessories,Input Devices,1,364.13,364.13,North
159,2024-09-06,C8572,Tracy Smith,P6093,Headphones,Accessories,Storage Devices,4,80.38,321.52,North
160,2025-01-21,C6806,Kelli Arnold,P9863,Desk,Furniture,Tables,6,778.18,4669.08,West
161,2024-12-30,C6009,Michael Wiley,P4591,USB Drive,Accessories,Audio,8,566.91,4535.28,East
162,2025-01-19,C7469,,P3289,Headphones,Accessories,Storage Devices,9,414.63,3731.67,West
163,2025-04-29,C9716,David Rivera,P2850,Mouse,Accessories,Storage Devices,7,228.55,1599.85,South
164,2025-01-06,C9550,Tim Becker,P7218,Webcam,Electronics,Mobile Devices,8,48.3,386.4,South
165,2024-11-22,C4909,Mary Edwards,P1904,Keyboard,Accessories,Input Devices,9,685.45,6169.05,South
166,2025-05-10,C8010,Kenneth Paul,P4804,Headphones,Accessories,Audio,2,353.73,707.46,South
167,2024-07-10,C5042,Angela Watson,P8568,Mouse,Accessories,Input Devices,3,301.11,903.33,East
168,2025-01-20,C5528,Blake Lewis,P4875,Table Lamp,Furniture,Storage,5,216.19,1080.95,South
169,2025-03-22,C2383,Mackenzie Edwards,P9641,Keyboard,Accessories,Audio,6,220.28,1321.68,North
170,2025-04-18,C1099,April Martinez,P1655,Monitor,Electronics,Mobile Devices,9,572.06,5148.54,East
171,2025-04-28,C6645,Christian Ellis,P5821,Office Chair,Furniture,Seating,2,844.36,1688.72,South
172,2024-12-26,C2162,Casey Horton,P8392,Laptop,Electronics,Peripherals,1,921.54,921.54,West
173,2024-06-13,C1821,John Kidd,P4448,Bookshelf,Furniture,Seating,5,209.04,1045.2,South
174,2025-05-13,C2056,Mark Baker,P7538,Office Chair,Furniture,Seating,1,42.67,42.67,East
175,2024-12-19,C2876,Jared Palmer,P8093,Keyboard,Accessories,Input Devices,4,996.61,3986.44,North
176,2025-02-13,C9978,Brian Cain,P7246,Webcam,Electronics,Mobile Devices,3,370.59,1111.77,North
177,2024-08-13,C6197,Ronald Spencer,P9833,USB Drive,Accessories,Input Devices,3,679.82,2039.46,West
178,2024-09-13,C3304,Julie Turner,P1767,Laptop,Electronics,Peripherals,7,431.02,3017.14,West
179,2024-11-17,C2480,Madeline Carter,P8566,Printer,Electronics,Mobile Devices,8,270.22,2161.76,North
180,2024-08-18,C7923,Robert Johnson,P6933,Desk,Furniture,Storage,9,845.69,7611.21,South
181,2024-06-14,C8378,Kelly Hess,P9253,Webcam,Electronics,Mobile Devices,5,954.15,4770.75,West
182,2024-11-28,C6792,Eddie Wilson,P4743,Mouse,Accessories,Audio,4,441.35,1765.4,North
183,2024-08-14,C3408,Vickie Robinson,P7707,Monitor,Electronics,Computers,9,398.21,3583.89,East
